instrument,plotParameters
CTD-FIXED,"""temperature,salinity,density,oxygen"""
CTD-PROFILER,"""temperature,salinity,density,oxygen"""
FLR-PROFILER,"""chlorophyll"""
FLR-FIXED,"""chlorophyll"""
NUT-PROFILER,"""nitrate"""
NUT-FIXED,"""nitrate"""
PAR-PROFILER,"""par"""
PCO2-PROFILER,"""pco2"""
PCO2-FIXED,"""pco2"""
PH-PROFILER,"""ph"""
PH-FIXED,"""ph"""
SPKIR-PROFILER,"""spectral_irradiance_412nm,spectral_irradiance_443nm,spectral_irradiance_490nm,spectral_irradiance_510nm,spectral_irradiance_555nm,spectral_irradiance_620nm,spectral_irradiance_683nm"""
VELPT-PROFILER,"""velocity_east,velocity_north,velocity_up"""
